"Step","Our Work - island_2_best_score","Our Work - island_2_best_score__MIN","Our Work - island_2_best_score__MAX","Benchmark - island_2_best_score","Benchmark - island_2_best_score__MIN","Benchmark - island_2_best_score__MAX"
"2","-212","-212","-212","-212","-212","-212"
"3","-212","-212","-212","","",""
"4","-212","-212","-212","","",""
"5","","","","-212","-212","-212"
"6","-212","-212","-212","","",""
"7","-212","-212","-212","","",""
"8","","","","-212","-212","-212"
"11","-212","-212","-212","-212","-212","-212"
"14","-212","-212","-212","-212","-212","-212"
"15","-212","-212","-212","","",""
"16","-212","-212","-212","","",""
"17","-212","-212","-212","-212","-212","-212"
"20","-212","-212","-212","-212","-212","-212"
"24","-212","-212","-212","","",""
"25","-212","-212","-212","","",""
"27","-212","-212","-212","-212","-212","-212"
"28","-212","-212","-212","-212","-212","-212"
"29","","","","-212","-212","-212"
"30","","","","-212","-212","-212"
"31","","","","-212","-212","-212"
"32","","","","-212","-212","-212"
"33","","","","-212","-212","-212"
"34","","","","-212","-212","-212"
"35","-212","-212","-212","","",""
"36","-212","-212","-212","-212","-212","-212"
"37","","","","-212","-212","-212"
"40","","","","-212","-212","-212"
"41","","","","-212","-212","-212"
"43","","","","-212","-212","-212"
"44","","","","-212","-212","-212"
"45","","","","-212","-212","-212"
"48","","","","-212","-212","-212"
"51","","","","-212","-212","-212"
"52","","","","-212","-212","-212"
"54","","","","-212","-212","-212"
"55","","","","-212","-212","-212"
"56","-212","-212","-212","","",""
"57","-212","-212","-212","","",""
"58","","","","-212","-212","-212"
"59","-212","-212","-212","","",""
"60","-212","-212","-212","-212","-212","-212"
"64","","","","-212","-212","-212"
"67","","","","-212","-212","-212"
"70","-212","-212","-212","","",""
"71","","","","-212","-212","-212"
"73","-212","-212","-212","","",""
"74","","","","-212","-212","-212"
"75","","","","-212","-212","-212"
"76","-212","-212","-212","","",""
"77","","","","-212","-212","-212"
"79","-212","-212","-212","","",""
"82","-212","-212","-212","-212","-212","-212"
"83","-212","-212","-212","","",""
"85","-212","-212","-212","-212","-212","-212"
"86","-212","-212","-212","","",""
"88","-212","-212","-212","-212","-212","-212"
"91","","","","-212","-212","-212"
"95","-212","-212","-212","","",""
"96","-212","-212","-212","","",""
"97","-212","-212","-212","","",""
"98","-212","-212","-212","","",""
"99","","","","-212","-212","-212"
"102","","","","-212","-212","-212"
"105","-212","-212","-212","","",""
"106","","","","-212","-212","-212"
"108","-212","-212","-212","","",""
"109","","","","-212","-212","-212"
"111","","","","-212","-212","-212"
"112","","","","-212","-212","-212"
"114","","","","-212","-212","-212"
"115","","","","-212","-212","-212"
"124","","","","-212","-212","-212"
"125","","","","-212","-212","-212"
"127","","","","-212","-212","-212"
"128","","","","-212","-212","-212"
"133","-212","-212","-212","","",""
"136","-212","-212","-212","","",""
"140","-212","-212","-212","","",""
"141","","","","-212","-212","-212"
"142","-212","-212","-212","","",""
"143","","","","-212","-212","-212"
"149","-212","-212","-212","","",""
"150","-212","-212","-212","","",""
"152","-212","-212","-212","","",""
"153","-212","-212","-212","-212","-212","-212"
"154","","","","-212","-212","-212"
"155","-212","-212","-212","-212","-212","-212"
"156","","","","-212","-212","-212"
"157","-212","-212","-212","-212","-212","-212"
"158","","","","-212","-212","-212"
"160","","","","-212","-212","-212"
"161","-212","-212","-212","","",""
"163","","","","-212","-212","-212"
"164","-212","-212","-212","","",""
"167","","","","-212","-212","-212"
"168","-212","-212","-212","","",""
"170","","","","-211.05","-211.05","-211.05"
"171","-212","-212","-212","-211.05","-211.05","-211.05"
"173","","","","-211.05","-211.05","-211.05"
"174","","","","-211.05","-211.05","-211.05"
"175","-212","-212","-212","","",""
"176","","","","-211.05","-211.05","-211.05"
"177","-212","-212","-212","","",""
"180","-212","-212","-212","","",""
"182","-212","-212","-212","","",""
"186","","","","-211.05","-211.05","-211.05"
"188","","","","-211.05","-211.05","-211.05"
"189","","","","-211.05","-211.05","-211.05"
"190","","","","-211.05","-211.05","-211.05"
"191","-212","-212","-212","-211.05","-211.05","-211.05"
"193","-212","-212","-212","-211.05","-211.05","-211.05"
"195","-212","-212","-212","","",""
"197","-212","-212","-212","-211.05","-211.05","-211.05"
"200","","","","-211.05","-211.05","-211.05"
"202","","","","-211.05","-211.05","-211.05"
"205","","","","-211.05","-211.05","-211.05"
"208","-212","-212","-212","","",""
"210","-212","-212","-212","","",""
"211","-212","-212","-212","","",""
"213","-212","-212","-212","","",""
"214","-212","-212","-212","","",""
"215","-212","-212","-212","","",""
"216","-212","-212","-212","","",""
"217","-212","-212","-212","","",""
"226","-212","-212","-212","","",""
"227","-212","-212","-212","-211.05","-211.05","-211.05"
"228","-212","-212","-212","","",""
"229","-212","-212","-212","-211.05","-211.05","-211.05"
"230","","","","-211","-211","-211"
"231","-212","-212","-212","","",""
"232","-212","-212","-212","-211","-211","-211"
"233","","","","-211","-211","-211"
"235","-212","-212","-212","-211","-211","-211"
"237","-212","-212","-212","-211","-211","-211"
"238","-212","-212","-212","-211","-211","-211"
"239","-212","-212","-212","","",""
"240","-212","-212","-212","","",""
"241","-212","-212","-212","","",""
"244","-212","-212","-212","","",""
"246","-212","-212","-212","-211","-211","-211"
"247","-212","-212","-212","","",""
"249","-212","-212","-212","-211","-211","-211"
"251","-212","-212","-212","","",""
"252","","","","-211","-211","-211"
"254","-212","-212","-212","","",""
"255","","","","-211","-211","-211"
"256","-212","-212","-212","","",""
"257","","","","-211","-211","-211"
"258","-212","-212","-212","-211","-211","-211"
"259","-212","-212","-212","","",""
"261","-212","-212","-212","","",""
"268","-212","-212","-212","","",""
"269","-212","-212","-212","","",""
"270","-212","-212","-212","","",""
"272","-212","-212","-212","","",""
"274","-212","-212","-212","","",""
"275","-212","-212","-212","","",""
"277","-212","-212","-212","","",""
"279","-212","-212","-212","","",""
"282","-212","-212","-212","","",""
"283","","","","-211","-211","-211"
"286","-212","-212","-212","-211","-211","-211"
"289","-212","-212","-212","","",""
"290","","","","-210.8","-210.8","-210.8"
"291","","","","-210.8","-210.8","-210.8"
"293","","","","-210.8","-210.8","-210.8"
"294","","","","-210.8","-210.8","-210.8"
"303","-212","-212","-212","","",""
"304","","","","-210.8","-210.8","-210.8"
"306","-212","-212","-212","","",""
"307","","","","-210.55","-210.55","-210.55"
"310","-212","-212","-212","","",""
"313","-212","-212","-212","-210.55","-210.55","-210.55"
"315","","","","-210.55","-210.55","-210.55"
"316","-212","-212","-212","","",""
"317","","","","-210.55","-210.55","-210.55"
"319","","","","-210.55","-210.55","-210.55"
"320","","","","-210.55","-210.55","-210.55"
"322","","","","-210.4","-210.4","-210.4"
"323","","","","-210.4","-210.4","-210.4"
"324","","","","-210.4","-210.4","-210.4"
"325","","","","-210.4","-210.4","-210.4"
"326","-212","-212","-212","-210.4","-210.4","-210.4"
"327","","","","-210.4","-210.4","-210.4"
"328","","","","-210.4","-210.4","-210.4"
"329","-212","-212","-212","-210.4","-210.4","-210.4"
"330","","","","-210.4","-210.4","-210.4"
"331","","","","-210.4","-210.4","-210.4"
"332","","","","-210.4","-210.4","-210.4"
"333","","","","-210.4","-210.4","-210.4"
"334","","","","-210.4","-210.4","-210.4"
"335","-212","-212","-212","-210.4","-210.4","-210.4"
"336","","","","-210.4","-210.4","-210.4"
