"Step","Our Work - island_1_best_score","Our Work - island_1_best_score__MIN","Our Work - island_1_best_score__MAX","Benchmark - island_1_best_score","Benchmark - island_1_best_score__MIN","Benchmark - island_1_best_score__MAX"
"1","-212","-212","-212","-212","-212","-212"
"5","-212","-212","-212","","",""
"8","-212","-212","-212","","",""
"9","","","","-212","-212","-212"
"10","","","","-212","-212","-212"
"12","","","","-212","-212","-212"
"13","","","","-212","-212","-212"
"15","","","","-212","-212","-212"
"18","-212","-212","-212","-212","-212","-212"
"19","-212","-212","-212","","",""
"21","-212","-212","-212","","",""
"22","-212","-212","-212","","",""
"23","","","","-212","-212","-212"
"26","","","","-212","-212","-212"
"31","-212","-212","-212","","",""
"34","-212","-212","-212","","",""
"39","-212","-212","-212","","",""
"42","-212","-212","-212","","",""
"44","-212","-212","-212","","",""
"47","-212","-212","-212","-212","-212","-212"
"50","-212","-212","-212","-212","-212","-212"
"51","-212","-212","-212","","",""
"53","-212","-212","-212","-212","-212","-212"
"54","-212","-212","-212","","",""
"55","-212","-212","-212","","",""
"56","","","","-212","-212","-212"
"57","","","","-212","-212","-212"
"59","","","","-212","-212","-212"
"61","","","","-212","-212","-212"
"62","-211.85","-211.85","-211.85","-212","-212","-212"
"63","-211.85","-211.85","-211.85","","",""
"64","-211.85","-211.85","-211.85","","",""
"65","-211.85","-211.85","-211.85","-212","-212","-212"
"67","-211.85","-211.85","-211.85","","",""
"68","-211.85","-211.85","-211.85","-212","-212","-212"
"76","","","","-212","-212","-212"
"77","-211.85","-211.85","-211.85","","",""
"78","-211.85","-211.85","-211.85","-212","-212","-212"
"79","","","","-212","-212","-212"
"80","-211.85","-211.85","-211.85","-212","-212","-212"
"81","-211.85","-211.85","-211.85","-212","-212","-212"
"84","","","","-212","-212","-212"
"90","-211.85","-211.85","-211.85","","",""
"92","-211.65","-211.65","-211.65","","",""
"93","-211.65","-211.65","-211.65","-212","-212","-212"
"94","-211.65","-211.65","-211.65","-212","-212","-212"
"96","","","","-212","-212","-212"
"97","","","","-212","-212","-212"
"100","","","","-212","-212","-212"
"103","","","","-212","-212","-212"
"106","-211.65","-211.65","-211.65","","",""
"107","-211.65","-211.65","-211.65","","",""
"109","-211.65","-211.65","-211.65","","",""
"110","-211.65","-211.65","-211.65","","",""
"112","-211.65","-211.65","-211.65","","",""
"113","-211.65","-211.65","-211.65","-212","-212","-212"
"115","-211.65","-211.65","-211.65","","",""
"116","-211.65","-211.65","-211.65","-212","-212","-212"
"117","","","","-212","-212","-212"
"120","","","","-212","-212","-212"
"122","-211.65","-211.65","-211.65","","",""
"123","-211.65","-211.65","-211.65","-212","-212","-212"
"125","-211.65","-211.65","-211.65","","",""
"126","-211.65","-211.65","-211.65","-212","-212","-212"
"128","-211.65","-211.65","-211.65","","",""
"129","","","","-212","-212","-212"
"131","-211.65","-211.65","-211.65","","",""
"132","","","","-212","-212","-212"
"134","-211.65","-211.65","-211.65","","",""
"135","-211.65","-211.65","-211.65","","",""
"136","","","","-212","-212","-212"
"137","-211.65","-211.65","-211.65","","",""
"138","-211.65","-211.65","-211.65","","",""
"139","","","","-212","-212","-212"
"143","-211.65","-211.65","-211.65","","",""
"144","-211.65","-211.65","-211.65","","",""
"145","","","","-212","-212","-212"
"146","-211.65","-211.65","-211.65","-212","-212","-212"
"147","-211.65","-211.65","-211.65","","",""
"148","","","","-212","-212","-212"
"150","","","","-212","-212","-212"
"151","-211.65","-211.65","-211.65","-212","-212","-212"
"152","","","","-212","-212","-212"
"154","-211.65","-211.65","-211.65","","",""
"156","-211.65","-211.65","-211.65","","",""
"158","-211.65","-211.65","-211.65","","",""
"159","-211.65","-211.65","-211.65","-212","-212","-212"
"160","-211.65","-211.65","-211.65","","",""
"162","","","","-212","-212","-212"
"163","-211.65","-211.65","-211.65","","",""
"166","-211.65","-211.65","-211.65","","",""
"169","-211.65","-211.65","-211.65","","",""
"172","-211.65","-211.65","-211.65","","",""
"173","-211.65","-211.65","-211.65","","",""
"174","-211.65","-211.65","-211.65","","",""
"176","-211.65","-211.65","-211.65","","",""
"177","","","","-212","-212","-212"
"178","-211.65","-211.65","-211.65","-212","-212","-212"
"179","","","","-212","-212","-212"
"180","","","","-212","-212","-212"
"181","","","","-212","-212","-212"
"182","","","","-212","-212","-212"
"183","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"184","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"185","","","","-211.95","-211.95","-211.95"
"187","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"190","-211.65","-211.65","-211.65","","",""
"192","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"194","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"195","","","","-211.95","-211.95","-211.95"
"196","-211.65","-211.65","-211.65","","",""
"198","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"199","-211.65","-211.65","-211.65","","",""
"200","-211.65","-211.65","-211.65","","",""
"201","","","","-211.95","-211.95","-211.95"
"202","-211.65","-211.65","-211.65","","",""
"203","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"204","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"205","-211.65","-211.65","-211.65","","",""
"206","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"207","-211.65","-211.65","-211.65","","",""
"208","","","","-211.95","-211.95","-211.95"
"209","-211.65","-211.65","-211.65","","",""
"211","","","","-211.95","-211.95","-211.95"
"212","-211.65","-211.65","-211.65","","",""
"214","","","","-211.95","-211.95","-211.95"
"215","","","","-211.95","-211.95","-211.95"
"217","","","","-211.95","-211.95","-211.95"
"218","","","","-211.95","-211.95","-211.95"
"219","","","","-211.95","-211.95","-211.95"
"221","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"223","-211.65","-211.65","-211.65","","",""
"225","","","","-211.95","-211.95","-211.95"
"226","","","","-211.95","-211.95","-211.95"
"228","","","","-211.95","-211.95","-211.95"
"231","","","","-211.95","-211.95","-211.95"
"239","","","","-211.95","-211.95","-211.95"
"240","","","","-211.95","-211.95","-211.95"
"241","","","","-211.95","-211.95","-211.95"
"242","","","","-211.95","-211.95","-211.95"
"243","","","","-211.95","-211.95","-211.95"
"244","","","","-211.95","-211.95","-211.95"
"245","","","","-211.95","-211.95","-211.95"
"247","","","","-211.95","-211.95","-211.95"
"248","","","","-211.95","-211.95","-211.95"
"250","","","","-211.95","-211.95","-211.95"
"252","-211.65","-211.65","-211.65","","",""
"254","","","","-211.95","-211.95","-211.95"
"255","-211.65","-211.65","-211.65","","",""
"256","","","","-211.95","-211.95","-211.95"
"263","-211.65","-211.65","-211.65","","",""
"265","","","","-211.95","-211.95","-211.95"
"266","-211.65","-211.65","-211.65","","",""
"267","","","","-211.95","-211.95","-211.95"
"271","-211.65","-211.65","-211.65","","",""
"273","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"276","","","","-211.95","-211.95","-211.95"
"284","","","","-211.95","-211.95","-211.95"
"287","-211.65","-211.65","-211.65","-211.95","-211.95","-211.95"
"290","-211.65","-211.65","-211.65","","",""
"292","-211.65","-211.65","-211.65","","",""
"294","-211.5","-211.5","-211.5","","",""
"295","-211.5","-211.5","-211.5","","",""
"296","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"297","-211.5","-211.5","-211.5","","",""
"298","-211.5","-211.5","-211.5","","",""
"299","","","","-211.95","-211.95","-211.95"
"301","","","","-211.95","-211.95","-211.95"
"302","","","","-211.95","-211.95","-211.95"
"303","","","","-211.95","-211.95","-211.95"
"304","-211.5","-211.5","-211.5","","",""
"305","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"307","-211.5","-211.5","-211.5","","",""
"308","-211.5","-211.5","-211.5","","",""
"309","","","","-211.95","-211.95","-211.95"
"310","","","","-211.95","-211.95","-211.95"
"312","-211.5","-211.5","-211.5","","",""
"314","-211.5","-211.5","-211.5","","",""
"317","-211.5","-211.5","-211.5","","",""
"318","","","","-211.95","-211.95","-211.95"
"319","-211.5","-211.5","-211.5","","",""
"321","","","","-211.95","-211.95","-211.95"
"325","-211.5","-211.5","-211.5","","",""
"328","-211.5","-211.5","-211.5","","",""
"334","-211.5","-211.5","-211.5","","",""
"336","-211.5","-211.5","-211.5","","",""
"342","","","","-211.95","-211.95","-211.95"
"345","","","","-211.95","-211.95","-211.95"
"347","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"348","","","","-211.95","-211.95","-211.95"
"350","","","","-211.95","-211.95","-211.95"
"351","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"352","-211.5","-211.5","-211.5","","",""
"353","","","","-211.95","-211.95","-211.95"
"354","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"355","-211.5","-211.5","-211.5","","",""
"356","","","","-211.95","-211.95","-211.95"
"357","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"359","","","","-211.95","-211.95","-211.95"
"360","","","","-211.95","-211.95","-211.95"
"361","","","","-211.95","-211.95","-211.95"
"363","","","","-211.95","-211.95","-211.95"
"365","-211.5","-211.5","-211.5","","",""
"367","","","","-211.95","-211.95","-211.95"
"368","-211.5","-211.5","-211.5","","",""
"369","-211.5","-211.5","-211.5","","",""
"370","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"371","","","","-211.95","-211.95","-211.95"
"372","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"374","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"375","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"376","-211.5","-211.5","-211.5","","",""
"377","-211.5","-211.5","-211.5","","",""
"379","-211.5","-211.5","-211.5","","",""
"380","-211.5","-211.5","-211.5","","",""
"382","-211.5","-211.5","-211.5","","",""
"385","-211.5","-211.5","-211.5","","",""
"386","-211.5","-211.5","-211.5","","",""
"389","","","","-211.95","-211.95","-211.95"
"390","","","","-211.95","-211.95","-211.95"
"392","-211.5","-211.5","-211.5","","",""
"395","-211.5","-211.5","-211.5","","",""
"397","-211.5","-211.5","-211.5","","",""
"398","","","","-211.95","-211.95","-211.95"
"400","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"402","-211.5","-211.5","-211.5","","",""
"403","","","","-211.95","-211.95","-211.95"
"405","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"406","","","","-211.95","-211.95","-211.95"
"408","","","","-211.95","-211.95","-211.95"
"409","","","","-211.95","-211.95","-211.95"
"410","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"412","","","","-211.95","-211.95","-211.95"
"413","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"415","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"416","","","","-211.95","-211.95","-211.95"
"418","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"419","","","","-211.95","-211.95","-211.95"
"421","","","","-211.95","-211.95","-211.95"
"423","-211.5","-211.5","-211.5","","",""
"424","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"426","-211.5","-211.5","-211.5","","",""
"427","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"429","-211.5","-211.5","-211.5","","",""
"430","","","","-211.95","-211.95","-211.95"
"431","-211.5","-211.5","-211.5","","",""
"432","-211.5","-211.5","-211.5","","",""
"433","-211.5","-211.5","-211.5","","",""
"434","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"436","-211.5","-211.5","-211.5","","",""
"437","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
"439","-211.5","-211.5","-211.5","-211.95","-211.95","-211.95"
