"Step","Our Work - island_0_best_score","Our Work - island_0_best_score__MIN","Our Work - island_0_best_score__MAX","Benchmark - island_0_best_score","Benchmark - island_0_best_score__MIN","Benchmark - island_0_best_score__MAX"
"314","","","","-212","-212","-212"
"315","-212","-212","-212","","",""
"316","","","","-212","-212","-212"
"318","-212","-212","-212","","",""
"320","-212","-212","-212","","",""
"321","-212","-212","-212","","",""
"322","-212","-212","-212","","",""
"323","-212","-212","-212","","",""
"324","-212","-212","-212","","",""
"327","-212","-212","-212","","",""
"330","-212","-212","-212","","",""
"331","-212","-212","-212","","",""
"332","-212","-212","-212","","",""
"333","-212","-212","-212","","",""
"340","-212","-212","-212","","",""
"341","-212","-212","-212","-212","-212","-212"
"343","-212","-212","-212","-212","-212","-212"
"344","-212","-212","-212","-212","-212","-212"
"346","-212","-212","-212","-212","-212","-212"
"348","-212","-212","-212","","",""
"349","-212","-212","-212","","",""
"350","-212","-212","-212","","",""
"353","-212","-212","-212","","",""
"356","-212","-212","-212","","",""
"358","-212","-212","-212","","",""
"359","-212","-212","-212","","",""
"360","-212","-212","-212","","",""
"362","","","","-212","-212","-212"
"364","-212","-212","-212","-212","-212","-212"
"365","","","","-212","-212","-212"
"366","","","","-211.5","-211.5","-211.5"
"367","-212","-212","-212","","",""
"368","","","","-211.5","-211.5","-211.5"
"369","","","","-211.5","-211.5","-211.5"
"371","-212","-212","-212","","",""
"373","-212","-212","-212","-211.5","-211.5","-211.5"
"376","","","","-211.5","-211.5","-211.5"
"377","","","","-211.5","-211.5","-211.5"
"378","-212","-212","-212","-211.5","-211.5","-211.5"
"380","","","","-211.5","-211.5","-211.5"
"381","-212","-212","-212","-211.5","-211.5","-211.5"
"383","","","","-211.5","-211.5","-211.5"
"384","","","","-211.5","-211.5","-211.5"
"385","","","","-211.5","-211.5","-211.5"
"387","-212","-212","-212","-211.5","-211.5","-211.5"
"389","-212","-212","-212","","",""
"394","","","","-211.5","-211.5","-211.5"
"396","-212","-212","-212","-211.5","-211.5","-211.5"
"398","-212","-212","-212","","",""
"399","-212","-212","-212","","",""
"401","-212","-212","-212","","",""
"404","-212","-212","-212","","",""
"407","-212","-212","-212","","",""
"411","","","","-211.5","-211.5","-211.5"
"414","","","","-211.5","-211.5","-211.5"
"416","-212","-212","-212","","",""
"417","","","","-211.5","-211.5","-211.5"
"419","-212","-212","-212","","",""
"420","-212","-212","-212","-211.5","-211.5","-211.5"
"421","-212","-212","-212","","",""
"433","","","","-211.5","-211.5","-211.5"
"435","-212","-212","-212","-211.5","-211.5","-211.5"
"436","","","","-211.5","-211.5","-211.5"
"438","-212","-212","-212","-211.5","-211.5","-211.5"
"440","-212","-212","-212","","",""
"443","-212","-212","-212","","",""
"446","-212","-212","-212","-211.5","-211.5","-211.5"
"447","-212","-212","-212","","",""
"449","-212","-212","-212","-211.5","-211.5","-211.5"
"451","-212","-212","-212","","",""
"452","","","","-209.1","-209.1","-209.1"
"453","-212","-212","-212","","",""
"454","","","","-209.1","-209.1","-209.1"
"457","","","","-209.1","-209.1","-209.1"
"459","","","","-209.1","-209.1","-209.1"
"460","-212","-212","-212","","",""
"463","-212","-212","-212","","",""
"466","-212","-212","-212","","",""
